time,open,high,low,close,volume,EMA25,EMA50,signal
2022-11-11 05:00:00,16988.13,17342.0,17013.58,17308.82,2280.66413316,17308.82,17308.82,hold
2022-11-11 06:00:00,17117.75,17380.0,17308.81,17217.38,1880.64779194,17301.786153846155,17305.234117647058,sell
2022-11-11 07:00:00,17100.78,17440.5,17217.69,17359.54,1779.27418519,17306.228757396453,17307.36376009227,hold
2022-11-11 08:00:00,17230.81,17478.46,17355.76,17352.93,1595.97835577,17309.82116067365,17309.1506714612,buy
2022-11-11 09:00:00,17263.3,17394.08,17352.93,17350.94,1356.57282093,17312.98414831414,17310.7894686588,hold
2022-11-11 10:00:00,17182.05,17381.54,17350.78,17293.4,1688.79820727,17311.4776753669,17310.107528711396,hold
2022-11-11 11:00:00,17252.23,17423.59,17294.14,17315.67,1723.14600698,17311.800161877138,17310.325664840362,hold
2022-11-11 12:00:00,17221.64,17380.13,17316.21,17364.55,1501.94110569,17315.857841732744,17312.45210935643,hold
2022-11-11 13:00:00,17261.91,17509.47,17364.34,17267.43,1899.0946797,17312.13262313792,17310.68653644049,hold
2022-11-11 14:00:00,16336.05,17296.02,17267.04,16871.63,7086.98056273,17278.247805973468,17293.468633050667,sell
2022-11-11 15:00:00,16636.89,17008.18,16866.77,16837.5,3581.25958074,17244.344128590896,17275.587510185935,hold
2022-11-11 16:00:00,16500.0,16894.47,16836.15,16788.58,3673.52365102,17209.28534946852,17256.489176453153,hold
2022-11-11 17:00:00,16709.45,16916.03,16789.55,16868.54,3464.07548228,17183.07416874017,17241.275483258913,hold
2022-11-11 18:00:00,16752.79,17000.0,16868.42,16792.83,3006.37331688,17153.05538652939,17223.689385876212,hold
2022-11-11 19:00:00,16623.75,16846.43,16795.6,16796.79,3192.3079006,17125.650356796363,17206.94823348891,hold
2022-11-11 20:00:00,16520.0,16814.56,16793.06,16572.56,4001.57918626,17083.104944735107,17182.070263548172,hold
2022-11-11 21:00:00,16560.81,16859.42,16572.92,16760.86,3274.10120153,17058.316872063177,17165.552213997264,hold
2022-11-11 22:00:00,16749.38,16940.0,16760.84,16868.4,2341.68056272,17043.707881904473,17153.89918599737,hold
2022-11-11 23:00:00,16785.12,17092.22,16867.77,17013.62,2756.42460229,17041.393429450283,17148.398041448454,hold
2022-11-12 00:00:00,16809.32,17067.7,17014.78,16847.67,2031.57841624,17026.491627184878,17136.604784921066,hold
2022-11-12 01:00:00,16760.84,16887.54,16847.59,16851.2,1334.44959623,17013.007655862966,17125.41244041436,hold
2022-11-12 02:00:00,16816.69,16960.02,16850.2,16844.46,1107.17943046,17000.042451565816,17114.394697653013,hold
2022-11-12 03:00:00,16738.4,16896.32,16844.55,16872.76,1035.56922263,16990.25149375306,17104.918827156816,hold
2022-11-12 04:00:00,16700.0,16901.56,16872.56,16723.59,1240.63602519,16969.739071156673,17089.964755503606,hold
2022-11-12 05:00:00,16595.25,16750.0,16729.78,16663.72,1390.34865506,16946.19914260616,17073.24927489562,hold
2022-11-12 06:00:00,16636.3,16776.78,16663.11,16719.65,1055.05654574,16928.772285482613,17059.38263666442,hold
2022-11-12 07:00:00,16715.29,16829.25,16718.19,16777.6,996.57533788,16917.143648137797,17048.332337187385,hold
2022-11-12 08:00:00,16681.71,16860.0,16778.76,16796.04,870.17810799,16907.82798289643,17038.438520042782,hold
2022-11-12 09:00:00,16750.02,16855.16,16796.01,16817.36,933.58653519,16900.868907289012,17029.76877415875,hold
2022-11-12 10:00:00,16767.05,16925.14,16817.34,16802.0,1022.48489913,16893.26360672832,17020.836665368213,hold
2022-11-12 11:00:00,16749.16,16852.24,16801.34,16831.53,727.35229118,16888.514867749218,17013.41287456946,hold
2022-11-12 12:00:00,16779.01,16885.46,16834.5,16831.95,745.56836887,16884.163724076203,17006.296683409873,hold
2022-11-12 13:00:00,16721.55,16836.28,16831.61,16807.2,1024.28737019,16878.243437608806,16998.488970334976,hold
2022-11-12 14:00:00,16764.51,16947.51,16810.05,16872.02,1391.43786015,16877.764711638898,16993.52940287086,hold
